Dateiart,Datenformate,Bemerkungen,Quellen,Quellen zur Ampel,Ampel,Extensions,,,Legende,,,,Definition
,*.pptx (PowerPoint),ETH Zürich (2025): nicht geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.ppt,,,,,,,
Unformatierter Text,"*.txt, *.asc, *.c, *.h, *.cpp, *.m, *.py, *.r usw. (Unformatierter Text)",,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,Herder-Institut Marburg: https://zenodo.org/records/18389871,,"txt, *.asc, *.c, *.h, *.cpp, *.m, *.py, *.r usw.",,,,,,,
,.md (Markdown),,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.md,,,,,,,
Musik,MEI (Music Encoding Initiative),,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,.mei,,,,,,,
,MusicXML,,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,.xml,,,,,,,
,Parsons Code,,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,.pc,,,,,,,
,PDF A (Portable Document Format A) ,"Wurde nicht gesagt, inwiefern es priorisiert wird",NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,n/a,.pdf,,,,,,,
Bild (Rastergrafiken),"TIFF, TIFF-LZW (Master: baseline Tagged Image File Format, unkomprimiert; TIFF mit Lempel-Ziv-Welch-Komprimierung) ",lzv.nrw: empfohlen für Langzeitarchivierung,"NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate, lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social",lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social,,".tiff, .tif",,,,,,,
,TIFF+EWF.XML- Tagged Image File Format und Exdended World File,,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,".tif, .tiff., .xml, .xsd",,,,,,,
,"JPEG 1 und JPEG 2000 (Joint Photographic Experts Group, verlustfrei komprimiert, lizenzfreie Bereiche)",,"NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate, lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social",Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,.jp2,,,,,,,
,PDF A (Portable Document Format A),,Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,,.pdf,,,,,,,
,"Präsentationsformate (Derivate): JPEG, JPEG 2000, Portable Network Graphics (PNG)",,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.png,,,,,,,
,DNG (Rohdaten: Digital Negative),,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,,.dng,,,,,,,
,PSD (Photoshop),ETH Zürich (2025): Nicht geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.psd,,,,,,,
Bild (Vektorgrafiken) und CAD,SVG (Scalable Vector Graphics),Empfohlen ohne JavaScript Binding,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.svg,,,,,,,
,*.dwg (AutoCAD Drawing),,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.dwg,,,,,,,
,"*.dxf (Drawing Interchange Format, AutoCAD)",,"ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate, lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social ",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.dxf,,,,,,,
,"*.x3d, *.x3dv, *.x3db (Extensible 3D, X3D)",,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,".x3d, .x3dv, -x3db",,,,,,,
,*.eps (Encapsulated Postscript),ETH Zürich (2025): Nicht geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.eps,,,,,,,
,"Grafik InDesign (*.indd), Illustrator (*.ait)",ETH Zürich (2025): Nicht geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.indd,,,,,,,
Audio,Archivformat: Waveform Audio File-Format (WAV) in Verbindung mit Pulse Code Modulation (PCM); Free Lossless Audio Codec (FLAC),,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social,,".wav, .flac",,,,,,,
,*.mp4 (Advanced Audio Coding),ETH Zürich (2025): Bedingt geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.mp4,,,,,,,
,MP3 (*.mp3),"ETH Zürich (2025):Bedingt geeignet, HI: Nicht empfohlen",kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.mp3,,,,,,,
,Präsentationsformat: MPEG-2 Audiolayer III (MP3),"Nicht empfohlen laut HI, bedingt geeignet laut ETH Zürich",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.mp3,,,,,,,
Video/Film,Archivformate:,,,,,,,,,,,,
,Codec FFV1 / Container MKV,,"NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate, lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social",Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,.mkv,,,,,,,
,TIFF mit FFV1 in Matroshka codiert,,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,,,,,,,,
,MPEG-4 Moving Picture Experts Group Standard ,ETH Zürich (2025): Bedingt geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,.jpeg,,,,,,,
,"Präsentationsformat: MP4 (MPEG-4, part 14)",ETH Zürich (2025): Bedingt geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.mp4,,,,,,,
,"MPEG-2 (*.mpg,*.mpeg)",ETH Zürich (2025): Bedingt geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,".mpg, .mpeg",,,,,,,
,MOV QuickTime Movie (*.mov),ETH Zürich (2025): Bedingt geeignet,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.mov,,,,,,,
