Dateiart,Datenformate,Quellen zur Ampel,Ampel
Video/Film,Archivformate:,,
,Codec FFV1 / Container MKV, lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social,
,TIFF mit FFV1 in Matroshka codiert,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,
,Moving Picture Experts Group Standard MPEG-4,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,"Präsentationsformat: MP4 (MPEG-4, part 14)",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,"MPEG-2 (*.mpg,*.mpeg)",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,QuickTime Movie (*.mov),ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,Audio Video Interleave (*.avi),ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,Windows Media Video (*.wmv),ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,weitere Empfehlungen der nestor AG Media,,
,Moving Picture Experts Group Motion JPEG 2000 (MJPEG2000),NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,n/a
,"Digital Picture Exchange (DPX), SMPTE 268M-2003, v 2.0",NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,n/a
,"Material Exchange Format (MXF), SMPTE 377M",NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,n/a
3D,Graphics Language Transmission Format (glTF),NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,Wavefront Object (OBJ),NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,"Extensible 3D (X3D)",NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,"Präsentationsformat: glTF, X3D, OBJ",NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,COLLAborative Design Activity (COLLADA),,n/a
Tabellen,"Extensible Markup Language (XML) 1.1, mit XML Schema Definition (XSD)",NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,Comma-Separated Values (CSV),NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,Excel *.xlsx (Containerformat),ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,"OpenDocument Formate (*.odm, *.odt, *.odg, *.odc, *.odf)",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,"Excel *.xls, *.xlsb (binäre Formate)",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
Datenbanken,Software Independent Archival of Relational Databases (SIARD),NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,Structured Query Language (SQL),NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,MS Access 2010/2016,Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,"Export und externe Speicherung der Datenbankinhalte empfohlen, z. B. als XML, CSV, JSON mit Entitäten-Relationen-Diagramm (ERD)",Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
Geoinformationssysteme (GIS),Vektordaten: Environmental Systems Research Institute ESRI Shapefile,Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,Vektordaten als ESRI ArcGIS/ARCView ShapeFile,Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,OGC GeoPackage (OpenSource),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,Rasterbilddaten als Geo-TIFF,Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,ESRI World-File (Rastergrafik),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,Keyhole Mark-Up Language (kml),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,Geography Markup Language (gml),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,Längen- und Breitenangaben (alternativ),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,Rasterdaten: Open Geospatial Consortium GeoTIFF,,n/a
Webseiten,Hypertext Markup Language (HTML5),NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,Extensible Hypertext Markup Language (XHTML),NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,
,Resource Description Framework in Attributes (RDFa) für das Einbetten von RDF-Statements in HTML und XHTML,,n/a
Statistik,R (Sprache und Umgebung für statistische Berechnungen und Grafiken),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,n/a
Webarchiv,WARC-Format (Web Archive Format),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,HTML + CSS (Hyper Text Markup Language + Cascading Style Sheets),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
Bagit,Bagit (File Packaging Format),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,ZIP-Format (PKZip),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,GZIP (GNU Zip),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
,TAR (abgeleitet von „tape archive“),Herder-Institut Marburg (2023): https://drive.google.com/drive/folders/1xvJaDfa8_DSKHip0A884QhLpoJXAoyZC,
Rohdaten und Workspace,"ASCII Text ist langfristig nutzbar, die spätere maschinelle Lesbarkeit ist jedoch unter Umständen aufwendig.",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,S-Plus (*.sdd) am ehesten als Text-Dateien speichern.,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,"Matlab *.mat am ehesten in HDF5 Format speichern. Nichttriviale Matlab *.mat ASCII Files vermeiden, denn sie können mit load nicht gelesen werden (siehe Tabelle 2).",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,"Network Common Data Format oder NetCDF (*.nc, *.cdf)",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,"Hierarchical Data Format (HDF5) (*.h5, *.hdf5, *.he5)",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
,"Binäre Dateien wie veraltete Matlab Dateien *.mat (binär), R Dateien *.RData",ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,
Bibilographische Daten (Zitationsformate),allegro,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,CSL-JSON,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,BibJSON,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,BibTeX,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Citation File Format (CFF),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
Metadatenformate,Allgemeines Metadatenprofil für Bildungsressourcen (AMB),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Codex Metadata Model (Codex),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Common European Research Information Format (CERIF),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Cataloging Cultural Objects: A Guide to Describing Cultural Works and Their Images (CCO),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Categories for the Description of Works of Art (CDWA),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,CodeMeta,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Culture Graph Interchange Format (CGIF),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Data Package,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Data Resoure,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,DataCite,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,DNB Casual (dnbterms),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Document Availability Information API (DAIA),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,EN 15907,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Encoded Archival Description (EAD),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Endnote Tagged Format (ENW),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Europeana Data Model (EDM),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Exchangeable Image File Format (Exif),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Extensible Metadata Platform (XMP),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Functional Requirements for Bibliographic Records (FRBR),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Hayagriva YAML File Format (Hayagriva),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,International Standard Bibliographic Description (ISBD),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Journal Article Tag Suite (JATS),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Kerndatensatz Forschung (KDSF),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Knowledge Base And Related Tools (KBART),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Langzeitarchivierungsmetadaten für elektronische Ressourcen (LMER),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Learning Objects Metadata (LOM),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Lightweight Information Describing Objects (LIDO),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,DDB-LIDO,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Gemeinsamer Feldkatalog Graphischer Sammlungen,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,KENOM-LIDO,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,kuniweb-LIDO,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,MARC,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,CBS MARC 21 Format,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,JAPAN/MARC Format für bibliographische Daten,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,MARC 21 Format für bibliographische Daten,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,MARC 21 Format für Lokaldaten,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,MARC 21 LITE Bibliographic Format,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,UNIMARC Format für bibliographische Daten,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,UNIMARC Format für Lokaldaten,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Maschinelles Austauschformat für Bibliotheken (MAB),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Metadata Encoding & Transmission Standard (METS),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Metadata Object Description Schema (MODS),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,museumdat,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,ONline Information eXchange (ONIX),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,PICA-Format (PICA),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,CBS MARC 21 PICA+ format,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,K10plus Format,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,ZDB-Format,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Research Information System Format (RIS),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Schemas und Schemasprachen (Schemas),Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Metadata Vocabulary for Tabular Data,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,Spectrum,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
,VZG Articleformat,Verbundzentrale des GBV: https://format.gbv.de/application/bibliographic,
